Handle,Title,Body (HTML),Vendor,Standardized Product Type,Custom Product Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
caja-2,Caja Gran Papá (Austral),"<p><strong></strong>Sorprende a tu  gran padre con esta caja de madera rústica, decorada con papel diseño de periódico, preparada con una variedad de productos finos;  dulces y salados de excelente calidad y reconocidas marcas, acompañada de refrescantes cervezas.<br></p>
<p> </p>
<p><strong>Ocasión</strong>: Regalo perfecto para celebrar el Día del padre.<br></p>
<p><strong>Medidas:</strong></p>
<div style=""padding-left: 30px;"">Caja 30 X 30 </div>
<div style=""padding-left: 30px;"">Alto: 40  a 50 cm</div>
<div style=""padding-left: 30px;""></div>
<div style=""padding-left: 30px;""></div>
<div style=""padding-left: 30px;""></div>
<div style=""padding-left: 30px;""></div>
<div style=""padding-left: 30px;""></div>
<p><strong>Productos: </strong></p>
<div>Cerveza austral 335  ( dos unidades )</div>
<div>Salamín receta del abuelo ( cinco unidades )</div>
<div>Almendras                ( 80 gramos )</div>
<div>Maní salado              ( 80 gramos )</div>
<div>Aceitunas                  ( 80 gramos )</div>
<div>Pan mini molde         ( 100 gramos )</div>
<div>Pastel individual  </div>
<div>Alfajores de maicena ( tres unidades )</div>
<div>Queque individual     ( tres unidades )</div>
<div>Caja de madera cepillada </div>
<div>Papel decorativo periódico</div>
<p> </p>
<div style=""padding-left: 30px; text-align: center;""><span style=""text-decoration: underline;""><span style=""color: #ff2a00; text-decoration: underline;"">Este producto<span> </span><strong>no</strong><span> </span>es un desayuno</span></span></div>
<div style=""padding-left: 30px; text-align: center;""><span style=""text-decoration: underline;""><span style=""color: #ff2a00; text-decoration: underline;"">la entrega se efectuará entre las 9.00 y 20.00 hrs.</span></span></div>
<div style=""padding-left: 30px; text-align: center;""><span style=""text-decoration: underline;""><span style=""color: #ff2a00; text-decoration: underline;""></span></span></div>
<div style=""padding-left: 30px; text-align: center;""><span style=""text-decoration: underline;""><span style=""color: #ff2a00; text-decoration: underline;""></span></span></div>
<div style=""padding-left: 30px; text-align: center;""><span style=""text-decoration: underline;""><span style=""color: #ff2a00; text-decoration: underline;""><strong>Entregas en</strong> : Ñuñoa, Macul, Providencia, La reina, Las condes, Vitacura.</span></span></div>",Florería Suecia,,,Papá,false,Title,Default Title,,,,,"",1000.0,,0,deny,manual,24990,34990,true,false,"",https://cdn.shopify.com/s/files/1/0336/9346/6669/products/Porlascondicionesactualesrelacionadasalcoronavirus_podrianefectuarsecambiosenlasfloresincluidasenlosarreglos.Estasseranintercambiadasporlasquetengamosenstock_12.png?v=1597210766,1,,false,,,,,,,,,,,,,,,,,kg,,,draft
caja-3,Caja Mejor Papá (Guayacán),"<p><strong>Descripción:</strong></p>
<p>¡Feliz día papito! Una gran ocasión para celebrar un día importante, con este obsequio especial; caja de madera, estilo rústico, compuesta de un mix de productos dulces y salados para degustar, acompañados de un fresco jugo y tres sabores diferentes de cerveza del Valle de Elqui. Decorada con fino papel bicolor satinado  y mensaje de saludo en la pizarra.<br></p>
<p>        <strong>Ocasión: </strong>Regalo para un momento tan especial como el día del papá</p>
<p><strong>        Medidas</strong>:</p>
<div style=""padding-left: 30px;"">Caja de 30 X 30 cm</div>
<div style=""padding-left: 30px;"">Alto      40 a 50 cm</div>
<div style=""padding-left: 30px;""></div>
<div style=""padding-left: 30px;""></div>
<div style=""padding-left: 30px;""></div>
<div style=""padding-left: 30px;""><strong></strong></div>
<div style=""padding-left: 30px;"">
<strong>Productos:</strong><br>
</div>
<div style=""padding-left: 30px;""><strong></strong></div>
<div style=""padding-left: 30px;""><strong></strong></div>
<div style=""padding-left: 30px;"">Cervezas guayacán ( tres unidades )</div>
<div style=""padding-left: 30px;"">Jugo jumex               ( una unidad )</div>
<div style=""padding-left: 30px;"">Salame artesanal Receta del Abuelo ( 200 gramos )</div>
<div style=""padding-left: 30px;"">Queso camembert   ( 100 gramos )</div>
<div style=""padding-left: 30px;"">Mini pan de molde  ( 100 gramos )</div>
<div style=""padding-left: 30px;"">Aceitunas                 ( 100 gramos )</div>
<div style=""padding-left: 30px;"">Almendras               ( 100 gramos )</div>
<div style=""padding-left: 30px;"">Maní salado             ( 100 gramos )</div>
<div style=""padding-left: 30px;"">Pasteles surtidos      ( cuatro unidades )</div>
<div style=""padding-left: 30px;"">Medias lunas            ( tres unidades )</div>
<div style=""padding-left: 30px;"">Queque surtidos      ( cinco unidades )</div>
<div style=""padding-left: 30px;"">Alfajor de maicena   ( cinco unidades )</div>
<div style=""padding-left: 30px;"">Queque                    ( 250  gramos )</div>
<div style=""padding-left: 30px;"">*Caja de madera cepillada con pizarra incorporada</div>
<div style=""padding-left: 30px;""></div>
<div style=""padding-left: 30px;""></div>
<div style=""padding-left: 30px;""></div>
<div style=""padding-left: 30px;""></div>
<div style=""padding-left: 30px; text-align: center;""><span style=""text-decoration: underline;""><span style=""color: #ff2a00; text-decoration: underline;"">Este producto <strong>no</strong> es un desayuno</span></span></div>
<div style=""padding-left: 30px; text-align: center;""><span style=""text-decoration: underline;""><span style=""color: #ff2a00; text-decoration: underline;""> la entrega se efectuará entre las 9.00 y 20.00 hrs.</span></span></div>
<div style=""padding-left: 30px; text-align: center;""><span style=""text-decoration: underline;""><span style=""color: #ff2a00; text-decoration: underline;""></span></span></div>
<div style=""padding-left: 30px; text-align: center;""><span style=""text-decoration: underline;""><span style=""color: #ff2a00; text-decoration: underline;""><strong>Entregas en</strong><span> : Ñuñoa, Macul, Providencia, La reina, Las condes, Vitacura.</span></span></span></div>
<div style=""padding-left: 30px; text-align: center;""><span style=""text-decoration: underline;""><span style=""color: #ff2a00; text-decoration: underline;""></span></span></div>
<div style=""padding-left: 30px; text-align: center;""><span style=""text-decoration: underline;""><span style=""color: #ff2a00; text-decoration: underline;""></span></span></div>",Florería Suecia,,,Papá,false,Title,Default Title,,,,,"",1000.0,,0,deny,manual,42990,,true,false,"",https://cdn.shopify.com/s/files/1/0336/9346/6669/products/Porlascondicionesactualesrelacionadasalcoronavirus_podrianefectuarsecambiosenlasfloresincluidasenlosarreglos.Estasseranintercambiadasporlasquetengamosenstock_13.png?v=1597210940,1,,false,,,,,,,,,,,,,,,,,kg,,,draft
caja-4,Caja Momento Especial (Kross),"<p><strong></strong>El gran momento llegó; es el día de celebrar la compañía de tu padre; con esta original caja de productos para saborear la combinación dulce y salada junto a una agradable cerveza y jugo para refrescar, presentado en una caja diseñada en madera fina y tomador de cordón rústico.</p>
<p> </p>
<p><strong>Ocasión: </strong>Original regalo para el gran día del padre.</p>
<p> </p>
<p><strong>Medidas:</strong></p>
<div style=""padding-left: 30px;"">Caja de 30 X 30 cms</div>
<div style=""padding-left: 30px;"">Alto 40 a 50 cms</div>
<div style=""padding-left: 30px;""></div>
<div style=""padding-left: 30px;""></div>
<div style=""padding-left: 30px;""></div>
<div style=""padding-left: 30px;""></div>
<div style=""padding-left: 30px;""></div>
<div style=""padding-left: 30px;""></div>
<div style=""padding-left: 30px;""></div>
<p><strong>Productos:</strong></p>
<div style=""padding-left: 30px;"">Cerveza Cross         ( 750 cc )</div>
<div style=""padding-left: 30px;"">Jugo Jumex</div>
<div style=""padding-left: 30px;"">Salamin snack         ( cinco unidades )</div>
<div style=""padding-left: 30px;"">Pepinillos                ( 80 gramos )</div>
<div style=""padding-left: 30px;"">Mini pan de molde ( 100 gramos )</div>
<div style=""padding-left: 30px;"">Aceitunas                ( 80 gramos )</div>
<div style=""padding-left: 30px;"">Almendras              ( 80 gramos )</div>
<div style=""padding-left: 30px;"">Maní salado            ( 80 gramos )</div>
<div style=""padding-left: 30px;"">Pastel                      ( una unidad )</div>
<div style=""padding-left: 30px;"">Medias luna            ( tres unidades )</div>
<div style=""padding-left: 30px;"">Queque surtido      ( tres unidades )</div>
<div style=""padding-left: 30px;"">Caja de madera cepillada con tomador de cuerda</div>
<p><strong>      </strong></p>
<div style=""padding-left: 30px; text-align: center;""><span style=""text-decoration: underline;""><span style=""color: #ff2a00; text-decoration: underline;"">Este producto<span> </span><strong>no</strong><span> </span>es un desayuno</span></span></div>
<div style=""padding-left: 30px; text-align: center;""><span style=""text-decoration: underline;""><span style=""color: #ff2a00; text-decoration: underline;"">la entrega se efectuará entre las 9.00 y 20.00 hrs.</span></span></div>
<div style=""padding-left: 30px; text-align: center;""><span style=""text-decoration: underline;""><span style=""color: #ff2a00; text-decoration: underline;""></span></span></div>
<div style=""padding-left: 30px; text-align: center;""><span style=""text-decoration: underline;""><span style=""color: #ff2a00; text-decoration: underline;""><strong>Entregas en</strong><span> : Ñuñoa, Macul, Providencia, La reina, Las condes, Vitacura.</span></span></span></div>",Florería Suecia,,,Papá,false,Title,Default Title,,,,,"",1000.0,,0,deny,manual,35990,,true,false,"",https://cdn.shopify.com/s/files/1/0336/9346/6669/products/Porlascondicionesactualesrelacionadasalcoronavirus_podrianefectuarsecambiosenlasfloresincluidasenlosarreglos.Estasseranintercambiadasporlasquetengamosenstock_14.png?v=1597211006,1,,false,,,,,,,,,,,,,,,,,kg,,,draft
cojin-funebre-tonos-blancos,Cojín fúnebre de Condolencias,"<p><strong>Medidas aproximadas<br></strong>50 - 60 cm de ancho<br>30 - 40 cm de largo</p>
<p><strong>Contiene:<br></strong><span data-mce-fragment=""1"">24 rosas blancas ecuatorianas<br></span><span data-mce-fragment=""1"">follaje de temporada<br>Ilusión<br></span></p>
<p><em>Nuestros arreglos están sujetos en cambios en flores dependiendo del stock de estas y la temporada en la que nos encontremos, a pesar de esto, garantizamos que el producto será de excelente calidad y diseño.</em></p>",Florería Suecia,,,"",true,Title,Default Title,,,,,"",1000.0,,-114,deny,manual,54990,68900,true,false,"",https://cdn.shopify.com/s/files/1/0336/9346/6669/products/6.png?v=1597208436,1,,false,,,,,,,,,,,,,,,,,kg,,,active
canasta-de-rosas,Canasta de rosas blancas,"<p>Canasta de flores con vista 360, especial para condolencias. Flores por todas las caras, en diferentes tamaños:</p>
<p><span style=""text-decoration: underline;""><strong>Contiene:</strong></span><br></p>
<ul>
<li>Mediana: 24 rosas blancas, follaje, ilusión</li>
<li>Grande:<span data-mce-fragment=""1"">  36 rosas blancas, follaje, ilusión</span>
</li>
<li>Gigante: 48 rosas blancas, follaje, ilusión</li>
</ul>
<p> </p>
<div class=""product-options hidden-xs hidden-sm"">
<div class=""description""></div>
</div>",Florería Suecia,,,"",true,Cantidad de rosas,24,Color,Blanco,,,can-24-blanco,1000.0,shopify,62,deny,manual,64990,,true,false,"",https://cdn.shopify.com/s/files/1/0336/9346/6669/products/9.png?v=1619550032,1,,false,,,,,,,,,,,,,,,,,kg,,,active
canasta-de-rosas,,,,,,,,,36,,Blanco,,,can-36-blanco,1000.0,shopify,18,deny,manual,79990,,true,false,"",,,,,,,,,,,,,,,,,,,,,kg,,,
canasta-de-rosas,,,,,,,,,48,,Blanco,,,can-48-blanco,1000.0,shopify,73,deny,manual,99990,,true,false,"",,,,,,,,,,,,,,,,,,,,,kg,,,
canasta-blanca,Canasta Blanca de Lilium de Condolencias,"<p data-mce-fragment=""1"">Blanco y elegante arreglo de lilium blancos, acompañados de  claveles y  toques de ilusión, elaborado en una canasta de mimbre. Flores de Condolencias</p>
<p data-mce-fragment=""1"">Las flores son seleccionadas cuidadosamente por su aroma, frescura  y calidad.</p>
<p data-mce-fragment=""1""><span style=""text-decoration: underline;"" data-mce-style=""text-decoration: underline;""><strong>Contiene:</strong></span><br></p>
<ul>
<li>3 Lilium</li>
<li>8 claveles o lisianthus</li>
<li>2 maules</li>
<li>Follaje e ilusión </li>
</ul>
<p data-mce-fragment=""1""><strong><span style=""text-decoration: underline;"">Medidas aproximadas:</span></strong></p>
<ul>
<li>50-55cm alto</li>
<li>40-45 cm ancho</li>
</ul>
<p data-mce-fragment=""1""> </p>",Florería Suecia,,,"",false,Title,Default Title,,,,,"",1000.0,,-476,deny,manual,39990,44990,true,false,"",https://cdn.shopify.com/s/files/1/0336/9346/6669/products/Ramomodernoyperfectopararegalarencualquiertipodeocasion.Estacompuestoporgirasoles_rosas_detallesblancos_lilaynaranja.Coloresvivosyllenosdealegriayamor.OcasionSisuintencionesmarcar.png?v=1599875711,1,,false,,,,,,,,,,,,,,,,,kg,,,draft
arreglo-redondo-en-tonos-blancos,Arreglo Redondo en tonos Blancos,"<p data-mce-fragment=""1"">Hermoso arreglo en tonalidades blancas compuesto por liliums blancos, rosas blancas, detalles en ilusión, claveles blancos, eucalipto y follajes varios, en base de tronco, blanca o café, dependiendo del stock de la tienda. Especial para condolencias.</p>
<p data-mce-fragment=""1""> Este arreglo, como todos los clásicos, es perfecto para cualquier tipo de ocasión.</p>
<p data-mce-fragment=""1""> Productos</p>
<p data-mce-fragment=""1"">50-60 cm alto</p>
<p data-mce-fragment=""1"">Rosas (9), Lilium, ( 3 ) , Ilusión</p>
<p data-mce-fragment=""1"">Follaje de temporada, Base blanca o tronco<br></p>",Florería Suecia,,,"",false,Title,Default Title,,,,,"",1000.0,,-88,deny,manual,39990,46000,true,false,"",https://cdn.shopify.com/s/files/1/0336/9346/6669/products/redondoblancofondoblanco_listo.png?v=1613676333,1,,false,,,,,,,,,,,,,,,,,kg,,,draft
corazon-de-rosas,Caja corazón de rosas,<p>Hermosa caja de <strong>12</strong> rosas rojas ecuatorianas. El regalo ideal para una persona amada con intensidad.</p>,Florería Suecia,,,"",true,Title,Default Title,,,,,"",1000.0,,-204,deny,manual,34990,,true,true,"",https://cdn.shopify.com/s/files/1/0336/9346/6669/products/fff.png?v=1645984140,1,,false,,,,,,,,,,,,,,,,,kg,,,active
